Title,IR,FlowHt,Const,Var,Sand,Ash
base,1.0000 ,0.0000 ,1,0,1,0
base,0.9995 ,0.1798 ,1,0,1,0
base,0.9985 ,0.5389 ,1,0,1,0
base,0.9970 ,1.0757 ,1,0,1,0
base,0.9950 ,1.7884 ,1,0,1,0
base,0.9925 ,2.6742 ,1,0,1,0
base,0.9895 ,3.7300 ,1,0,1,0
base,0.9860 ,4.9516 ,1,0,1,0
base,0.9820 ,6.3347 ,1,0,1,0
base,0.9775 ,7.8739 ,1,0,1,0
base,0.9725 ,9.5635 ,1,0,1,0
base,0.9670 ,11.3973 ,1,0,1,0
base,0.9610 ,13.3682 ,1,0,1,0
base,0.9545 ,15.4688 ,1,0,1,0
base,0.9475 ,17.6913 ,1,0,1,0
base,0.9400 ,20.0272 ,1,0,1,0
base,0.9320 ,22.4677 ,1,0,1,0
base,0.9235 ,25.0035 ,1,0,1,0
base,0.9145 ,27.6249 ,1,0,1,0
base,0.9050 ,30.3220 ,1,0,1,0
base,0.8950 ,33.0844 ,1,0,1,0
base,0.8845 ,35.9016 ,1,0,1,0
base,0.8735 ,38.7628 ,1,0,1,0
base,0.8620 ,41.6570 ,1,0,1,0
base,0.8500 ,44.5731 ,1,0,1,0
base,0.8375 ,47.5000 ,1,0,1,0
base,0.8245 ,50.4263 ,1,0,1,0
base,0.8110 ,53.3409 ,1,0,1,0
base,0.7970 ,56.2326 ,1,0,1,0
base,0.7825 ,59.0905 ,1,0,1,0
base,0.7675 ,61.9038 ,1,0,1,0
base,0.7520 ,64.6618 ,1,0,1,0
base,0.7360 ,67.3543 ,1,0,1,0
base,0.7195 ,69.9715 ,1,0,1,0
base,0.7025 ,72.5040 ,1,0,1,0
base,0.6850 ,74.9428 ,1,0,1,0
base,0.6670 ,77.2797 ,1,0,1,0
base,0.6485 ,79.5070 ,1,0,1,0
base,0.6295 ,81.6178 ,1,0,1,0
base,0.6100 ,83.6060 ,1,0,1,0
base,0.5900 ,85.4665 ,1,0,1,0
base,0.5695 ,87.1950 ,1,0,1,0
base,0.5485 ,88.7885 ,1,0,1,0
base,0.5270 ,90.2449 ,1,0,1,0
base,0.5050 ,91.5635 ,1,0,1,0
base,0.4825 ,92.7450 ,1,0,1,0
base,0.4595 ,93.7913 ,1,0,1,0
base,0.4360 ,94.7060 ,1,0,1,0
base,0.4120 ,95.4942 ,1,0,1,0
base,0.3875 ,96.1629 ,1,0,1,0
base,0.3625 ,96.7208 ,1,0,1,0
base,0.3370 ,97.1784 ,1,0,1,0
base,0.3110 ,97.5485 ,1,0,1,0
base,0.2845 ,97.8459 ,1,0,1,0
base,0.2575 ,98.0876 ,1,0,1,0
base,0.2300 ,98.2931 ,1,0,1,0
base,0.2020 ,98.4842 ,1,0,1,0
base,0.1735 ,98.6853 ,1,0,1,0
S75A25,1.0000 ,0.0000 ,1,0,0.75,0.25
S75A25,0.9995 ,2.8114 ,1,0,0.75,0.25
S75A25,0.9985 ,4.2143 ,1,0,0.75,0.25
S75A25,0.9970 ,5.5000 ,1,0,0.75,0.25
S75A25,0.9950 ,5.8750 ,1,0,0.75,0.25
S75A25,0.9925 ,6.2500 ,1,0,0.75,0.25
S75A25,0.9895 ,6.6250 ,1,0,0.75,0.25
S75A25,0.9860 ,7.0000 ,1,0,0.75,0.25
S75A25,0.9820 ,7.4333 ,1,0,0.75,0.25
S75A25,0.9775 ,7.8667 ,1,0,0.75,0.25
S75A25,0.9725 ,8.3000 ,1,0,0.75,0.25
S75A25,0.9670 ,8.7333 ,1,0,0.75,0.25
S75A25,0.9610 ,9.1667 ,1,0,0.75,0.25
S75A25,0.9545 ,9.6000 ,1,0,0.75,0.25
S75A25,0.9475 ,9.9667 ,1,0,0.75,0.25
S75A25,0.9400 ,10.3333 ,1,0,0.75,0.25
S75A25,0.9320 ,10.7000 ,1,0,0.75,0.25
S75A25,0.9235 ,11.0400 ,1,0,0.75,0.25
S75A25,0.9145 ,11.3800 ,1,0,0.75,0.25
S75A25,0.9050 ,11.7200 ,1,0,0.75,0.25
S75A25,0.8950 ,12.0600 ,1,0,0.75,0.25
S75A25,0.8845 ,12.4000 ,1,0,0.75,0.25
S75A25,0.8735 ,12.7300 ,1,0,0.75,0.25
S75A25,0.8620 ,13.0600 ,1,0,0.75,0.25
S75A25,0.8500 ,13.3900 ,1,0,0.75,0.25
S75A25,0.8375 ,13.7200 ,1,0,0.75,0.25
S75A25,0.8245 ,14.0500 ,1,0,0.75,0.25
S75A25,0.8110 ,14.3125 ,1,0,0.75,0.25
S75A25,0.7970 ,14.5750 ,1,0,0.75,0.25
S75A25,0.7825 ,14.8375 ,1,0,0.75,0.25
S75A25,0.7675 ,15.1000 ,1,0,0.75,0.25
S75A25,0.7520 ,15.3300 ,1,0,0.75,0.25
S75A25,0.7360 ,15.5600 ,1,0,0.75,0.25
S75A25,0.7195 ,15.7900 ,1,0,0.75,0.25
S75A25,0.7025 ,16.0200 ,1,0,0.75,0.25
S75A25,0.6850 ,16.2500 ,1,0,0.75,0.25
S75A25,0.6670 ,16.4125 ,1,0,0.75,0.25
S75A25,0.6485 ,16.5750 ,1,0,0.75,0.25
S75A25,0.6295 ,16.7375 ,1,0,0.75,0.25
S75A25,0.6100 ,16.9000 ,1,0,0.75,0.25
S75A25,0.5900 ,17.0250 ,1,0,0.75,0.25
S75A25,0.5695 ,17.1500 ,1,0,0.75,0.25
S75A25,0.5485 ,17.2750 ,1,0,0.75,0.25
S75A25,0.5270 ,17.4000 ,1,0,0.75,0.25
S75A25,0.5050 ,17.5000 ,1,0,0.75,0.25
S75A25,0.4825 ,17.6000 ,1,0,0.75,0.25
S75A25,0.4595 ,17.7000 ,1,0,0.75,0.25
S75A25,0.4360 ,17.8167 ,1,0,0.75,0.25
S75A25,0.4120 ,17.9333 ,1,0,0.75,0.25
S75A25,0.3875 ,18.0500 ,1,0,0.75,0.25
S75A25,0.3625 ,18.1750 ,1,0,0.75,0.25
S75A25,0.3370 ,18.3000 ,1,0,0.75,0.25
S75A25,0.3110 ,18.4000 ,1,0,0.75,0.25
S75A25,0.2845 ,18.5000 ,1,0,0.75,0.25
S75A25,0.2575 ,18.6500 ,1,0,0.75,0.25
S75A25,0.2300 ,18.8000 ,1,0,0.75,0.25
S75A25,0.2020 ,19.0000 ,1,0,0.75,0.25
S75A25,0.1735 ,19.0500 ,1,0,0.75,0.25
S50A50,1.0000 ,0.0000 ,1,0,0.5,0.5
S50A50,0.9995 ,0.5800 ,1,0,0.5,0.5
S50A50,0.9985 ,1.1600 ,1,0,0.5,0.5
S50A50,0.9970 ,1.7400 ,1,0,0.5,0.5
S50A50,0.9950 ,2.3200 ,1,0,0.5,0.5
S50A50,0.9925 ,2.9000 ,1,0,0.5,0.5
S50A50,0.9895 ,3.6000 ,1,0,0.5,0.5
S50A50,0.9860 ,4.2000 ,1,0,0.5,0.5
S50A50,0.9820 ,4.7000 ,1,0,0.5,0.5
S50A50,0.9775 ,5.2500 ,1,0,0.5,0.5
S50A50,0.9725 ,5.6500 ,1,0,0.5,0.5
S50A50,0.9670 ,5.9333 ,1,0,0.5,0.5
S50A50,0.9610 ,6.2167 ,1,0,0.5,0.5
S50A50,0.9545 ,6.4611 ,1,0,0.5,0.5
S50A50,0.9475 ,6.7056 ,1,0,0.5,0.5
S50A50,0.9400 ,6.9500 ,1,0,0.5,0.5
S50A50,0.9320 ,7.1000 ,1,0,0.5,0.5
S50A50,0.9235 ,7.3000 ,1,0,0.5,0.5
S50A50,0.9145 ,7.5000 ,1,0,0.5,0.5
S50A50,0.9050 ,7.7000 ,1,0,0.5,0.5
S50A50,0.8950 ,7.8750 ,1,0,0.5,0.5
S50A50,0.8845 ,8.0500 ,1,0,0.5,0.5
S50A50,0.8735 ,8.2250 ,1,0,0.5,0.5
S50A50,0.8620 ,8.4000 ,1,0,0.5,0.5
S50A50,0.8500 ,8.5600 ,1,0,0.5,0.5
S50A50,0.8375 ,8.7200 ,1,0,0.5,0.5
S50A50,0.8245 ,8.8800 ,1,0,0.5,0.5
S50A50,0.8110 ,9.0400 ,1,0,0.5,0.5
S50A50,0.7970 ,9.2000 ,1,0,0.5,0.5
S50A50,0.7825 ,9.3375 ,1,0,0.5,0.5
S50A50,0.7675 ,9.4750 ,1,0,0.5,0.5
S50A50,0.7520 ,9.6125 ,1,0,0.5,0.5
S50A50,0.7360 ,9.7500 ,1,0,0.5,0.5
S50A50,0.7195 ,9.8667 ,1,0,0.5,0.5
S50A50,0.7025 ,9.9833 ,1,0,0.5,0.5
S50A50,0.6850 ,10.1000 ,1,0,0.5,0.5
S50A50,0.6670 ,10.2333 ,1,0,0.5,0.5
S50A50,0.6485 ,10.3667 ,1,0,0.5,0.5
S50A50,0.6295 ,10.5000 ,1,0,0.5,0.5
S50A50,0.6100 ,10.6250 ,1,0,0.5,0.5
S50A50,0.5900 ,10.7500 ,1,0,0.5,0.5
S50A50,0.5695 ,10.8750 ,1,0,0.5,0.5
S50A50,0.5485 ,11.0000 ,1,0,0.5,0.5
S50A50,0.5270 ,11.1200 ,1,0,0.5,0.5
S50A50,0.5050 ,11.2400 ,1,0,0.5,0.5
S50A50,0.4825 ,11.3600 ,1,0,0.5,0.5
S50A50,0.4595 ,11.4800 ,1,0,0.5,0.5
S50A50,0.4360 ,11.6000 ,1,0,0.5,0.5
S50A50,0.4120 ,11.6875 ,1,0,0.5,0.5
S50A50,0.3875 ,11.7750 ,1,0,0.5,0.5
S50A50,0.3625 ,11.8625 ,1,0,0.5,0.5
S50A50,0.3370 ,11.9500 ,1,0,0.5,0.5
S50A50,0.3110 ,12.0167 ,1,0,0.5,0.5
S50A50,0.2845 ,12.0833 ,1,0,0.5,0.5
S50A50,0.2575 ,12.1500 ,1,0,0.5,0.5
S50A50,0.2300 ,12.2000 ,1,0,0.5,0.5
S50A50,0.2020 ,12.3000 ,1,0,0.5,0.5
S50A50,0.1735 ,12.3667 ,1,0,0.5,0.5
S25A75,1.0000 ,0.000 ,1,0,0.25,0.75
S25A75,0.9995 ,0.467 ,1,0,0.25,0.75
S25A75,0.9985 ,0.933 ,1,0,0.25,0.75
S25A75,0.9970 ,1.400 ,1,0,0.25,0.75
S25A75,0.9950 ,1.750 ,1,0,0.25,0.75
S25A75,0.9925 ,2.100 ,1,0,0.25,0.75
S25A75,0.9895 ,2.450 ,1,0,0.25,0.75
S25A75,0.9860 ,2.800 ,1,0,0.25,0.75
S25A75,0.9820 ,3.150 ,1,0,0.25,0.75
S25A75,0.9775 ,3.500 ,1,0,0.25,0.75
S25A75,0.9725 ,3.850 ,1,0,0.25,0.75
S25A75,0.9670 ,4.200 ,1,0,0.25,0.75
S25A75,0.9610 ,4.410 ,1,0,0.25,0.75
S25A75,0.9545 ,4.620 ,1,0,0.25,0.75
S25A75,0.9475 ,4.830 ,1,0,0.25,0.75
S25A75,0.9400 ,5.040 ,1,0,0.25,0.75
S25A75,0.9320 ,5.250 ,1,0,0.25,0.75
S25A75,0.9235 ,5.400 ,1,0,0.25,0.75
S25A75,0.9145 ,5.500 ,1,0,0.25,0.75
S25A75,0.9050 ,5.600 ,1,0,0.25,0.75
S25A75,0.8950 ,5.650 ,1,0,0.25,0.75
S25A75,0.8845 ,5.750 ,1,0,0.25,0.75
S25A75,0.8735 ,5.850 ,1,0,0.25,0.75
S25A75,0.8620 ,5.900 ,1,0,0.25,0.75
S25A75,0.8500 ,5.950 ,1,0,0.25,0.75
S25A75,0.8375 ,6.000 ,1,0,0.25,0.75
S25A75,0.8245 ,6.050 ,1,0,0.25,0.75
S25A75,0.8110 ,6.100 ,1,0,0.25,0.75
S25A75,0.7970 ,6.200 ,1,0,0.25,0.75
S25A75,0.7825 ,6.300 ,1,0,0.25,0.75
S25A75,0.7675 ,6.400 ,1,0,0.25,0.75
S25A75,0.7520 ,6.500 ,1,0,0.25,0.75
S25A75,0.7360 ,6.550 ,1,0,0.25,0.75
S25A75,0.7195 ,6.600 ,1,0,0.25,0.75
S25A75,0.7025 ,6.700 ,1,0,0.25,0.75
S25A75,0.6850 ,6.800 ,1,0,0.25,0.75
S25A75,0.6670 ,6.850 ,1,0,0.25,0.75
S25A75,0.6485 ,6.900 ,1,0,0.25,0.75
S25A75,0.6295 ,7.000 ,1,0,0.25,0.75
S25A75,0.6100 ,7.100 ,1,0,0.25,0.75
S25A75,0.5900 ,7.150 ,1,0,0.25,0.75
S25A75,0.5695 ,7.200 ,1,0,0.25,0.75
S25A75,0.5485 ,7.270 ,1,0,0.25,0.75
S25A75,0.5270 ,7.300 ,1,0,0.25,0.75
S25A75,0.5050 ,7.400 ,1,0,0.25,0.75
S25A75,0.4825 ,7.467 ,1,0,0.25,0.75
S25A75,0.4595 ,7.533 ,1,0,0.25,0.75
S25A75,0.4360 ,7.600 ,1,0,0.25,0.75
S25A75,0.4120 ,7.667 ,1,0,0.25,0.75
S25A75,0.3875 ,7.733 ,1,0,0.25,0.75
S25A75,0.3625 ,7.800 ,1,0,0.25,0.75
S25A75,0.3370 ,7.867 ,1,0,0.25,0.75
S25A75,0.3110 ,7.933 ,1,0,0.25,0.75
S25A75,0.2845 ,8.000 ,1,0,0.25,0.75
S25A75,0.2575 ,8.025 ,1,0,0.25,0.75
S25A75,0.2300 ,8.050 ,1,0,0.25,0.75
S25A75,0.2020 ,8.075 ,1,0,0.25,0.75
S25A75,0.1735 ,8.100 ,1,0,0.25,0.75
