Title,IR,FlowHt,Const,Var,Base,MixS75,MixS50,MixS25,Thick,ParSize,Layer,Poro
base,1,0,1,0,1,0,0,0,,,,
base,0.9995,0.1798,1,0,1,0,0,0,,,,
base,0.9985,0.5389,1,0,1,0,0,0,,,,
base,0.997,1.0757,1,0,1,0,0,0,,,,
base,0.995,1.7884,1,0,1,0,0,0,,,,
base,0.9925,2.6742,1,0,1,0,0,0,,,,
base,0.9895,3.73,1,0,1,0,0,0,,,,
base,0.986,4.9516,1,0,1,0,0,0,,,,
base,0.982,6.3347,1,0,1,0,0,0,,,,
base,0.9775,7.8739,1,0,1,0,0,0,,,,
base,0.9725,9.5635,1,0,1,0,0,0,,,,
base,0.967,11.3973,1,0,1,0,0,0,,,,
base,0.961,13.3682,1,0,1,0,0,0,,,,
base,0.9545,15.4688,1,0,1,0,0,0,,,,
base,0.9475,17.6913,1,0,1,0,0,0,,,,
base,0.94,20.0272,1,0,1,0,0,0,,,,
base,0.932,22.4677,1,0,1,0,0,0,,,,
base,0.9235,25.0035,1,0,1,0,0,0,,,,
base,0.9145,27.6249,1,0,1,0,0,0,,,,
base,0.905,30.322,1,0,1,0,0,0,,,,
base,0.895,33.0844,1,0,1,0,0,0,,,,
base,0.8845,35.9016,1,0,1,0,0,0,,,,
base,0.8735,38.7628,1,0,1,0,0,0,,,,
base,0.862,41.657,1,0,1,0,0,0,,,,
base,0.85,44.5731,1,0,1,0,0,0,,,,
base,0.8375,47.5,1,0,1,0,0,0,,,,
base,0.8245,50.4263,1,0,1,0,0,0,,,,
base,0.811,53.3409,1,0,1,0,0,0,,,,
base,0.797,56.2326,1,0,1,0,0,0,,,,
base,0.7825,59.0905,1,0,1,0,0,0,,,,
base,0.7675,61.9038,1,0,1,0,0,0,,,,
base,0.752,64.6618,1,0,1,0,0,0,,,,
base,0.736,67.3543,1,0,1,0,0,0,,,,
base,0.7195,69.9715,1,0,1,0,0,0,,,,
base,0.7025,72.504,1,0,1,0,0,0,,,,
base,0.685,74.9428,1,0,1,0,0,0,,,,
base,0.667,77.2797,1,0,1,0,0,0,,,,
base,0.6485,79.507,1,0,1,0,0,0,,,,
base,0.6295,81.6178,1,0,1,0,0,0,,,,
base,0.61,83.606,1,0,1,0,0,0,,,,
base,0.59,85.4665,1,0,1,0,0,0,,,,
base,0.5695,87.195,1,0,1,0,0,0,,,,
base,0.5485,88.7885,1,0,1,0,0,0,,,,
base,0.527,90.2449,1,0,1,0,0,0,,,,
base,0.505,91.5635,1,0,1,0,0,0,,,,
base,0.4825,92.745,1,0,1,0,0,0,,,,
base,0.4595,93.7913,1,0,1,0,0,0,,,,
base,0.436,94.706,1,0,1,0,0,0,,,,
base,0.412,95.4942,1,0,1,0,0,0,,,,
base,0.3875,96.1629,1,0,1,0,0,0,,,,
base,0.3625,96.7208,1,0,1,0,0,0,,,,
base,0.337,97.1784,1,0,1,0,0,0,,,,
base,0.311,97.5485,1,0,1,0,0,0,,,,
base,0.2845,97.8459,1,0,1,0,0,0,,,,
base,0.2575,98.0876,1,0,1,0,0,0,,,,
base,0.23,98.2931,1,0,1,0,0,0,,,,
base,0.202,98.4842,1,0,1,0,0,0,,,,
base,0.1735,98.6853,1,0,1,0,0,0,,,,
S75A25,1,0.0000,1,0,0,1,0,0,,,,
S75A25,0.9995,2.8114,1,0,0,1,0,0,,,,
S75A25,0.9985,4.2143,1,0,0,1,0,0,,,,
S75A25,0.997,5.5000,1,0,0,1,0,0,,,,
S75A25,0.995,5.8750,1,0,0,1,0,0,,,,
S75A25,0.9925,6.2500,1,0,0,1,0,0,,,,
S75A25,0.9895,6.6250,1,0,0,1,0,0,,,,
S75A25,0.986,7.0000,1,0,0,1,0,0,,,,
S75A25,0.982,7.4333,1,0,0,1,0,0,,,,
S75A25,0.9775,7.8667,1,0,0,1,0,0,,,,
S75A25,0.9725,8.3000,1,0,0,1,0,0,,,,
S75A25,0.967,8.7333,1,0,0,1,0,0,,,,
S75A25,0.961,9.1667,1,0,0,1,0,0,,,,
S75A25,0.9545,9.6000,1,0,0,1,0,0,,,,
S75A25,0.9475,9.9667,1,0,0,1,0,0,,,,
S75A25,0.94,10.3333,1,0,0,1,0,0,,,,
S75A25,0.932,10.7000,1,0,0,1,0,0,,,,
S75A25,0.9235,11.0400,1,0,0,1,0,0,,,,
S75A25,0.9145,11.3800,1,0,0,1,0,0,,,,
S75A25,0.905,11.7200,1,0,0,1,0,0,,,,
S75A25,0.895,12.0600,1,0,0,1,0,0,,,,
S75A25,0.8845,12.4000,1,0,0,1,0,0,,,,
S75A25,0.8735,12.7300,1,0,0,1,0,0,,,,
S75A25,0.862,13.0600,1,0,0,1,0,0,,,,
S75A25,0.85,13.3900,1,0,0,1,0,0,,,,
S75A25,0.8375,13.7200,1,0,0,1,0,0,,,,
S75A25,0.8245,14.0500,1,0,0,1,0,0,,,,
S75A25,0.811,14.3125,1,0,0,1,0,0,,,,
S75A25,0.797,14.5750,1,0,0,1,0,0,,,,
S75A25,0.7825,14.8375,1,0,0,1,0,0,,,,
S75A25,0.7675,15.1000,1,0,0,1,0,0,,,,
S75A25,0.752,15.3300,1,0,0,1,0,0,,,,
S75A25,0.736,15.5600,1,0,0,1,0,0,,,,
S75A25,0.7195,15.7900,1,0,0,1,0,0,,,,
S75A25,0.7025,16.0200,1,0,0,1,0,0,,,,
S75A25,0.685,16.2500,1,0,0,1,0,0,,,,
S75A25,0.667,16.4125,1,0,0,1,0,0,,,,
S75A25,0.6485,16.5750,1,0,0,1,0,0,,,,
S75A25,0.6295,16.7375,1,0,0,1,0,0,,,,
S75A25,0.61,16.9000,1,0,0,1,0,0,,,,
S75A25,0.59,17.0250,1,0,0,1,0,0,,,,
S75A25,0.5695,17.1500,1,0,0,1,0,0,,,,
S75A25,0.5485,17.2750,1,0,0,1,0,0,,,,
S75A25,0.527,17.4000,1,0,0,1,0,0,,,,
S75A25,0.505,17.5000,1,0,0,1,0,0,,,,
S75A25,0.4825,17.6000,1,0,0,1,0,0,,,,
S75A25,0.4595,17.7000,1,0,0,1,0,0,,,,
S75A25,0.436,17.8167,1,0,0,1,0,0,,,,
S75A25,0.412,17.9333,1,0,0,1,0,0,,,,
S75A25,0.3875,18.0500,1,0,0,1,0,0,,,,
S75A25,0.3625,18.1750,1,0,0,1,0,0,,,,
S75A25,0.337,18.3000,1,0,0,1,0,0,,,,
S75A25,0.311,18.4000,1,0,0,1,0,0,,,,
S75A25,0.2845,18.5000,1,0,0,1,0,0,,,,
S75A25,0.2575,18.6500,1,0,0,1,0,0,,,,
S75A25,0.23,18.8000,1,0,0,1,0,0,,,,
S75A25,0.202,19.0000,1,0,0,1,0,0,,,,
S75A25,0.1735,19.0500,1,0,0,1,0,0,,,,
S50A50,1,0.0000,1,0,0,0,1,0,,,,
S50A50,0.9995,0.5800,1,0,0,0,1,0,,,,
S50A50,0.9985,1.1600,1,0,0,0,1,0,,,,
S50A50,0.997,1.7400,1,0,0,0,1,0,,,,
S50A50,0.995,2.3200,1,0,0,0,1,0,,,,
S50A50,0.9925,2.9000,1,0,0,0,1,0,,,,
S50A50,0.9895,3.6000,1,0,0,0,1,0,,,,
S50A50,0.986,4.2000,1,0,0,0,1,0,,,,
S50A50,0.982,4.7000,1,0,0,0,1,0,,,,
S50A50,0.9775,5.2500,1,0,0,0,1,0,,,,
S50A50,0.9725,5.6500,1,0,0,0,1,0,,,,
S50A50,0.967,5.9333,1,0,0,0,1,0,,,,
S50A50,0.961,6.2167,1,0,0,0,1,0,,,,
S50A50,0.9545,6.4611,1,0,0,0,1,0,,,,
S50A50,0.9475,6.7056,1,0,0,0,1,0,,,,
S50A50,0.94,6.9500,1,0,0,0,1,0,,,,
S50A50,0.932,7.1000,1,0,0,0,1,0,,,,
S50A50,0.9235,7.3000,1,0,0,0,1,0,,,,
S50A50,0.9145,7.5000,1,0,0,0,1,0,,,,
S50A50,0.905,7.7000,1,0,0,0,1,0,,,,
S50A50,0.895,7.8750,1,0,0,0,1,0,,,,
S50A50,0.8845,8.0500,1,0,0,0,1,0,,,,
S50A50,0.8735,8.2250,1,0,0,0,1,0,,,,
S50A50,0.862,8.4000,1,0,0,0,1,0,,,,
S50A50,0.85,8.5600,1,0,0,0,1,0,,,,
S50A50,0.8375,8.7200,1,0,0,0,1,0,,,,
S50A50,0.8245,8.8800,1,0,0,0,1,0,,,,
S50A50,0.811,9.0400,1,0,0,0,1,0,,,,
S50A50,0.797,9.2000,1,0,0,0,1,0,,,,
S50A50,0.7825,9.3375,1,0,0,0,1,0,,,,
S50A50,0.7675,9.4750,1,0,0,0,1,0,,,,
S50A50,0.752,9.6125,1,0,0,0,1,0,,,,
S50A50,0.736,9.7500,1,0,0,0,1,0,,,,
S50A50,0.7195,9.8667,1,0,0,0,1,0,,,,
S50A50,0.7025,9.9833,1,0,0,0,1,0,,,,
S50A50,0.685,10.1000,1,0,0,0,1,0,,,,
S50A50,0.667,10.2333,1,0,0,0,1,0,,,,
S50A50,0.6485,10.3667,1,0,0,0,1,0,,,,
S50A50,0.6295,10.5000,1,0,0,0,1,0,,,,
S50A50,0.61,10.6250,1,0,0,0,1,0,,,,
S50A50,0.59,10.7500,1,0,0,0,1,0,,,,
S50A50,0.5695,10.8750,1,0,0,0,1,0,,,,
S50A50,0.5485,11.0000,1,0,0,0,1,0,,,,
S50A50,0.527,11.1200,1,0,0,0,1,0,,,,
S50A50,0.505,11.2400,1,0,0,0,1,0,,,,
S50A50,0.4825,11.3600,1,0,0,0,1,0,,,,
S50A50,0.4595,11.4800,1,0,0,0,1,0,,,,
S50A50,0.436,11.6000,1,0,0,0,1,0,,,,
S50A50,0.412,11.6875,1,0,0,0,1,0,,,,
S50A50,0.3875,11.7750,1,0,0,0,1,0,,,,
S50A50,0.3625,11.8625,1,0,0,0,1,0,,,,
S50A50,0.337,11.9500,1,0,0,0,1,0,,,,
S50A50,0.311,12.0167,1,0,0,0,1,0,,,,
S50A50,0.2845,12.0833,1,0,0,0,1,0,,,,
S50A50,0.2575,12.1500,1,0,0,0,1,0,,,,
S50A50,0.23,12.2000,1,0,0,0,1,0,,,,
S50A50,0.202,12.3000,1,0,0,0,1,0,,,,
S50A50,0.1735,12.3667,1,0,0,0,1,0,,,,
S25A75,1,0.0000,1,0,0,0,0,1,,,,
S25A75,0.9995,0.4667,1,0,0,0,0,1,,,,
S25A75,0.9985,0.9333,1,0,0,0,0,1,,,,
S25A75,0.997,1.4000,1,0,0,0,0,1,,,,
S25A75,0.995,1.7500,1,0,0,0,0,1,,,,
S25A75,0.9925,2.1000,1,0,0,0,0,1,,,,
S25A75,0.9895,2.4500,1,0,0,0,0,1,,,,
S25A75,0.986,2.8000,1,0,0,0,0,1,,,,
S25A75,0.982,3.1500,1,0,0,0,0,1,,,,
S25A75,0.9775,3.5000,1,0,0,0,0,1,,,,
S25A75,0.9725,3.8500,1,0,0,0,0,1,,,,
S25A75,0.967,4.2000,1,0,0,0,0,1,,,,
S25A75,0.961,4.4100,1,0,0,0,0,1,,,,
S25A75,0.9545,4.6200,1,0,0,0,0,1,,,,
S25A75,0.9475,4.8300,1,0,0,0,0,1,,,,
S25A75,0.94,5.0400,1,0,0,0,0,1,,,,
S25A75,0.932,5.2500,1,0,0,0,0,1,,,,
S25A75,0.9235,5.4000,1,0,0,0,0,1,,,,
S25A75,0.9145,5.5000,1,0,0,0,0,1,,,,
S25A75,0.905,5.6000,1,0,0,0,0,1,,,,
S25A75,0.895,5.6500,1,0,0,0,0,1,,,,
S25A75,0.8845,5.7500,1,0,0,0,0,1,,,,
S25A75,0.8735,5.8500,1,0,0,0,0,1,,,,
S25A75,0.862,5.9000,1,0,0,0,0,1,,,,
S25A75,0.85,5.9500,1,0,0,0,0,1,,,,
S25A75,0.8375,6.0000,1,0,0,0,0,1,,,,
S25A75,0.8245,6.0500,1,0,0,0,0,1,,,,
S25A75,0.811,6.1000,1,0,0,0,0,1,,,,
S25A75,0.797,6.2000,1,0,0,0,0,1,,,,
S25A75,0.7825,6.3000,1,0,0,0,0,1,,,,
S25A75,0.7675,6.4000,1,0,0,0,0,1,,,,
S25A75,0.752,6.5000,1,0,0,0,0,1,,,,
S25A75,0.736,6.5500,1,0,0,0,0,1,,,,
S25A75,0.7195,6.6000,1,0,0,0,0,1,,,,
S25A75,0.7025,6.7000,1,0,0,0,0,1,,,,
S25A75,0.685,6.8000,1,0,0,0,0,1,,,,
S25A75,0.667,6.8500,1,0,0,0,0,1,,,,
S25A75,0.6485,6.9000,1,0,0,0,0,1,,,,
S25A75,0.6295,7.0000,1,0,0,0,0,1,,,,
S25A75,0.61,7.1000,1,0,0,0,0,1,,,,
S25A75,0.59,7.1500,1,0,0,0,0,1,,,,
S25A75,0.5695,7.2000,1,0,0,0,0,1,,,,
S25A75,0.5485,7.2700,1,0,0,0,0,1,,,,
S25A75,0.527,7.3000,1,0,0,0,0,1,,,,
S25A75,0.505,7.4000,1,0,0,0,0,1,,,,
S25A75,0.4825,7.4667,1,0,0,0,0,1,,,,
S25A75,0.4595,7.5333,1,0,0,0,0,1,,,,
S25A75,0.436,7.6000,1,0,0,0,0,1,,,,
S25A75,0.412,7.6667,1,0,0,0,0,1,,,,
S25A75,0.3875,7.7333,1,0,0,0,0,1,,,,
S25A75,0.3625,7.8000,1,0,0,0,0,1,,,,
S25A75,0.337,7.8667,1,0,0,0,0,1,,,,
S25A75,0.311,7.9333,1,0,0,0,0,1,,,,
S25A75,0.2845,8.0000,1,0,0,0,0,1,,,,
S25A75,0.2575,8.0250,1,0,0,0,0,1,,,,
S25A75,0.23,8.0500,1,0,0,0,0,1,,,,
S25A75,0.202,8.0750,1,0,0,0,0,1,,,,
S25A75,0.1735,8.1000,1,0,0,0,0,1,,,,
